decision_id,image_id,class_id,attribute_id,target,correct_answer_margin,raw_yes_minus_no_margin
11473::100::cub_attribute_yes_no_v1,11473,195,100,1,1.3515625,1.3515625
11473::102::cub_attribute_yes_no_v1,11473,195,102,0,1.9453125,-1.9453125
11473::111::cub_attribute_yes_no_v1,11473,195,111,0,0.078125,-0.078125
11473::118::cub_attribute_yes_no_v1,11473,195,118,0,0.859375,-0.859375
11473::120::cub_attribute_yes_no_v1,11473,195,120,1,1.171875,1.171875
11473::295::cub_attribute_yes_no_v1,11473,195,295,1,1.171875,1.171875
11473::305::cub_attribute_yes_no_v1,11473,195,305,0,0.046875,-0.046875
11473::306::cub_attribute_yes_no_v1,11473,195,306,0,0.375,-0.375
11473::308::cub_attribute_yes_no_v1,11473,195,308,0,-1.4296875,1.4296875
11473::309::cub_attribute_yes_no_v1,11473,195,309,0,0.8125,-0.8125
11473::311::cub_attribute_yes_no_v1,11473,195,311,1,0.3828125,0.3828125
11485::100::cub_attribute_yes_no_v1,11485,195,100,1,1.421875,1.421875
11485::103::cub_attribute_yes_no_v1,11485,195,103,1,0.9140625,0.9140625
11485::105::cub_attribute_yes_no_v1,11485,195,105,1,-0.5625,-0.5625
11485::107::cub_attribute_yes_no_v1,11485,195,107,0,-1.3359375,1.3359375
11485::118::cub_attribute_yes_no_v1,11485,195,118,0,0.5234375,-0.5234375
11485::120::cub_attribute_yes_no_v1,11485,195,120,1,1.203125,1.203125
11485::295::cub_attribute_yes_no_v1,11485,195,295,1,1.0546875,1.0546875
11485::299::cub_attribute_yes_no_v1,11485,195,299,0,-0.0625,0.0625
11485::2::cub_attribute_yes_no_v1,11485,195,2,0,-1.625,1.625
11485::305::cub_attribute_yes_no_v1,11485,195,305,0,0.2578125,-0.2578125
11485::309::cub_attribute_yes_no_v1,11485,195,309,0,0.375,-0.375
11485::311::cub_attribute_yes_no_v1,11485,195,311,1,1.3515625,1.3515625
11485::7::cub_attribute_yes_no_v1,11485,195,7,0,-0.8046875,0.8046875
1344::101::cub_attribute_yes_no_v1,1344,25,101,0,0.03125,-0.03125
1344::104::cub_attribute_yes_no_v1,1344,25,104,0,-0.015625,0.015625
1344::305::cub_attribute_yes_no_v1,1344,25,305,1,0.9140625,0.9140625
1344::309::cub_attribute_yes_no_v1,1344,25,309,1,-0.453125,-0.453125
1344::311::cub_attribute_yes_no_v1,1344,25,311,0,1.1484375,-1.1484375
1358::100::cub_attribute_yes_no_v1,1358,25,100,0,-0.796875,0.796875
1358::105::cub_attribute_yes_no_v1,1358,25,105,0,1.171875,-1.171875
1358::117::cub_attribute_yes_no_v1,1358,25,117,0,-0.890625,0.890625
1358::118::cub_attribute_yes_no_v1,1358,25,118,0,1.75,-1.75
1358::120::cub_attribute_yes_no_v1,1358,25,120,0,0.3828125,-0.3828125
1358::295::cub_attribute_yes_no_v1,1358,25,295,0,-0.40625,0.40625
1360::101::cub_attribute_yes_no_v1,1360,25,101,0,-0.7578125,0.7578125
1360::104::cub_attribute_yes_no_v1,1360,25,104,1,0.9921875,0.9921875
1360::309::cub_attribute_yes_no_v1,1360,25,309,1,-0.9921875,-0.9921875
1360::5::cub_attribute_yes_no_v1,1360,25,5,1,1.953125,1.953125
1360::7::cub_attribute_yes_no_v1,1360,25,7,0,-0.9609375,0.9609375
1360::8::cub_attribute_yes_no_v1,1360,25,8,0,-1.5078125,1.5078125
1402::101::cub_attribute_yes_no_v1,1402,25,101,0,-0.6875,0.6875
1402::102::cub_attribute_yes_no_v1,1402,25,102,1,-0.8125,-0.8125
1402::295::cub_attribute_yes_no_v1,1402,25,295,0,-0.1015625,0.1015625
1402::299::cub_attribute_yes_no_v1,1402,25,299,0,-0.265625,0.265625
1402::305::cub_attribute_yes_no_v1,1402,25,305,1,0.1875,0.1875
1402::309::cub_attribute_yes_no_v1,1402,25,309,1,-0.265625,-0.265625
1402::311::cub_attribute_yes_no_v1,1402,25,311,0,0.3046875,-0.3046875
1402::7::cub_attribute_yes_no_v1,1402,25,7,0,-0.625,0.625
1402::96::cub_attribute_yes_no_v1,1402,25,96,0,-0.3984375,0.3984375
1994::100::cub_attribute_yes_no_v1,1994,36,100,1,0.96875,0.96875
1994::104::cub_attribute_yes_no_v1,1994,36,104,0,-0.7109375,0.7109375
1994::105::cub_attribute_yes_no_v1,1994,36,105,0,0.0078125,-0.0078125
1994::107::cub_attribute_yes_no_v1,1994,36,107,1,0.109375,0.109375
1994::111::cub_attribute_yes_no_v1,1994,36,111,1,0.2421875,0.2421875
1994::117::cub_attribute_yes_no_v1,1994,36,117,0,-0.65625,0.65625
1994::118::cub_attribute_yes_no_v1,1994,36,118,0,0.0078125,-0.0078125
1994::120::cub_attribute_yes_no_v1,1994,36,120,0,-0.6015625,0.6015625
1994::295::cub_attribute_yes_no_v1,1994,36,295,0,-0.421875,0.421875
1994::299::cub_attribute_yes_no_v1,1994,36,299,1,0.2734375,0.2734375
1994::2::cub_attribute_yes_no_v1,1994,36,2,1,1.3203125,1.3203125
1994::308::cub_attribute_yes_no_v1,1994,36,308,1,1.046875,1.046875
1994::311::cub_attribute_yes_no_v1,1994,36,311,1,0.875,0.875
1994::7::cub_attribute_yes_no_v1,1994,36,7,0,-0.7421875,0.7421875
1994::8::cub_attribute_yes_no_v1,1994,36,8,0,-0.9765625,0.9765625
2022::101::cub_attribute_yes_no_v1,2022,36,101,0,-0.375,0.375
2022::105::cub_attribute_yes_no_v1,2022,36,105,0,-0.2734375,0.2734375
2022::117::cub_attribute_yes_no_v1,2022,36,117,1,0.0390625,0.0390625
2022::118::cub_attribute_yes_no_v1,2022,36,118,1,-0.1484375,-0.1484375
2022::120::cub_attribute_yes_no_v1,2022,36,120,0,-0.671875,0.671875
2022::295::cub_attribute_yes_no_v1,2022,36,295,1,0.9375,0.9375
2022::299::cub_attribute_yes_no_v1,2022,36,299,0,-1.21875,1.21875
2022::305::cub_attribute_yes_no_v1,2022,36,305,0,-0.421875,0.421875
2022::308::cub_attribute_yes_no_v1,2022,36,308,1,1.1640625,1.1640625
2022::311::cub_attribute_yes_no_v1,2022,36,311,1,0.5703125,0.5703125
2036::117::cub_attribute_yes_no_v1,2036,36,117,1,-0.5078125,-0.5078125
2036::118::cub_attribute_yes_no_v1,2036,36,118,0,1.03125,-1.03125
2042::103::cub_attribute_yes_no_v1,2042,36,103,1,0.5078125,0.5078125
2042::105::cub_attribute_yes_no_v1,2042,36,105,1,-0.6484375,-0.6484375
2042::111::cub_attribute_yes_no_v1,2042,36,111,0,0.0625,-0.0625
2042::117::cub_attribute_yes_no_v1,2042,36,117,1,-0.2421875,-0.2421875
2042::118::cub_attribute_yes_no_v1,2042,36,118,1,-0.15625,-0.15625
2042::120::cub_attribute_yes_no_v1,2042,36,120,1,0.578125,0.578125
2042::295::cub_attribute_yes_no_v1,2042,36,295,0,-0.828125,0.828125
2042::299::cub_attribute_yes_no_v1,2042,36,299,1,0.2421875,0.2421875
2042::7::cub_attribute_yes_no_v1,2042,36,7,1,0.6484375,0.6484375
3202::102::cub_attribute_yes_no_v1,3202,56,102,1,-0.796875,-0.796875
3202::111::cub_attribute_yes_no_v1,3202,56,111,1,-0.03125,-0.03125
3202::117::cub_attribute_yes_no_v1,3202,56,117,0,0.0625,-0.0625
3202::118::cub_attribute_yes_no_v1,3202,56,118,0,-0.4140625,0.4140625
3202::120::cub_attribute_yes_no_v1,3202,56,120,0,-1.0703125,1.0703125
3202::295::cub_attribute_yes_no_v1,3202,56,295,0,0.2578125,-0.2578125
3202::311::cub_attribute_yes_no_v1,3202,56,311,0,-0.03125,0.03125
3202::312::cub_attribute_yes_no_v1,3202,56,312,1,0.296875,0.296875
3202::7::cub_attribute_yes_no_v1,3202,56,7,0,-0.59375,0.59375
3202::8::cub_attribute_yes_no_v1,3202,56,8,1,0.8359375,0.8359375
3210::104::cub_attribute_yes_no_v1,3210,56,104,1,1.046875,1.046875
3210::105::cub_attribute_yes_no_v1,3210,56,105,0,0.3671875,-0.3671875
3210::111::cub_attribute_yes_no_v1,3210,56,111,0,-0.3828125,0.3828125
3210::117::cub_attribute_yes_no_v1,3210,56,117,0,0.2578125,-0.2578125
3210::118::cub_attribute_yes_no_v1,3210,56,118,0,-1.0078125,1.0078125
3210::120::cub_attribute_yes_no_v1,3210,56,120,1,1.34375,1.34375
3210::295::cub_attribute_yes_no_v1,3210,56,295,0,-1.6328125,1.6328125
3210::299::cub_attribute_yes_no_v1,3210,56,299,0,-0.6875,0.6875
3210::308::cub_attribute_yes_no_v1,3210,56,308,1,1.6015625,1.6015625
3210::309::cub_attribute_yes_no_v1,3210,56,309,1,-0.125,-0.125
3210::311::cub_attribute_yes_no_v1,3210,56,311,0,0.546875,-0.546875
3210::7::cub_attribute_yes_no_v1,3210,56,7,0,-0.9296875,0.9296875
3210::8::cub_attribute_yes_no_v1,3210,56,8,1,0.7109375,0.7109375
3210::96::cub_attribute_yes_no_v1,3210,56,96,1,1.1796875,1.1796875
3237::103::cub_attribute_yes_no_v1,3237,56,103,0,-0.4375,0.4375
3237::107::cub_attribute_yes_no_v1,3237,56,107,0,0.6953125,-0.6953125
3237::117::cub_attribute_yes_no_v1,3237,56,117,0,0.234375,-0.234375
3237::118::cub_attribute_yes_no_v1,3237,56,118,0,-0.9296875,0.9296875
3237::120::cub_attribute_yes_no_v1,3237,56,120,1,0.828125,0.828125
3237::295::cub_attribute_yes_no_v1,3237,56,295,0,0.5625,-0.5625
3237::305::cub_attribute_yes_no_v1,3237,56,305,0,0.2109375,-0.2109375
3237::306::cub_attribute_yes_no_v1,3237,56,306,0,-0.4375,0.4375
3237::308::cub_attribute_yes_no_v1,3237,56,308,1,0.8125,0.8125
3237::310::cub_attribute_yes_no_v1,3237,56,310,1,0.3671875,0.3671875
3237::311::cub_attribute_yes_no_v1,3237,56,311,0,-0.1328125,0.1328125
3237::96::cub_attribute_yes_no_v1,3237,56,96,1,1.1484375,1.1484375
3741::102::cub_attribute_yes_no_v1,3741,65,102,1,-0.984375,-0.984375
3741::111::cub_attribute_yes_no_v1,3741,65,111,0,-0.1640625,0.1640625
3741::117::cub_attribute_yes_no_v1,3741,65,117,0,0.8515625,-0.8515625
3741::118::cub_attribute_yes_no_v1,3741,65,118,1,0.25,0.25
3741::294::cub_attribute_yes_no_v1,3741,65,294,0,1.328125,-1.328125
3741::295::cub_attribute_yes_no_v1,3741,65,295,0,1.171875,-1.171875
3741::306::cub_attribute_yes_no_v1,3741,65,306,1,0.0546875,0.0546875
3741::309::cub_attribute_yes_no_v1,3741,65,309,1,-0.8515625,-0.8515625
3741::5::cub_attribute_yes_no_v1,3741,65,5,1,1.4921875,1.4921875
3741::7::cub_attribute_yes_no_v1,3741,65,7,0,-0.78125,0.78125
3747::102::cub_attribute_yes_no_v1,3747,65,102,1,-0.6328125,-0.6328125
3747::104::cub_attribute_yes_no_v1,3747,65,104,1,0.0,0.0
3747::111::cub_attribute_yes_no_v1,3747,65,111,1,0.9765625,0.9765625
3747::117::cub_attribute_yes_no_v1,3747,65,117,0,0.5546875,-0.5546875
3747::118::cub_attribute_yes_no_v1,3747,65,118,1,0.703125,0.703125
3747::295::cub_attribute_yes_no_v1,3747,65,295,0,0.7890625,-0.7890625
3747::299::cub_attribute_yes_no_v1,3747,65,299,1,0.53125,0.53125
3747::306::cub_attribute_yes_no_v1,3747,65,306,1,0.0625,0.0625
3747::308::cub_attribute_yes_no_v1,3747,65,308,0,0.2265625,-0.2265625
3747::309::cub_attribute_yes_no_v1,3747,65,309,1,-0.4921875,-0.4921875
3747::311::cub_attribute_yes_no_v1,3747,65,311,0,-0.125,0.125
3747::96::cub_attribute_yes_no_v1,3747,65,96,0,-0.4140625,0.4140625
3761::311::cub_attribute_yes_no_v1,3761,65,311,1,0.4765625,0.4765625
3764::100::cub_attribute_yes_no_v1,3764,65,100,1,0.734375,0.734375
3764::101::cub_attribute_yes_no_v1,3764,65,101,0,-0.34375,0.34375
3764::103::cub_attribute_yes_no_v1,3764,65,103,0,-0.2890625,0.2890625
3764::111::cub_attribute_yes_no_v1,3764,65,111,1,0.578125,0.578125
3764::118::cub_attribute_yes_no_v1,3764,65,118,1,0.640625,0.640625
3764::120::cub_attribute_yes_no_v1,3764,65,120,0,-0.265625,0.265625
3764::295::cub_attribute_yes_no_v1,3764,65,295,0,0.046875,-0.046875
3764::305::cub_attribute_yes_no_v1,3764,65,305,0,0.578125,-0.578125
3764::306::cub_attribute_yes_no_v1,3764,65,306,1,-0.1015625,-0.1015625
3764::311::cub_attribute_yes_no_v1,3764,65,311,0,0.0546875,-0.0546875
3764::312::cub_attribute_yes_no_v1,3764,65,312,1,-0.0078125,-0.0078125
3764::5::cub_attribute_yes_no_v1,3764,65,5,1,1.7265625,1.7265625
3764::7::cub_attribute_yes_no_v1,3764,65,7,0,-1.0859375,1.0859375
3764::8::cub_attribute_yes_no_v1,3764,65,8,0,-1.1875,1.1875
3848::103::cub_attribute_yes_no_v1,3848,67,103,0,-0.4921875,0.4921875
3848::104::cub_attribute_yes_no_v1,3848,67,104,1,0.1328125,0.1328125
3848::107::cub_attribute_yes_no_v1,3848,67,107,1,0.2578125,0.2578125
3848::118::cub_attribute_yes_no_v1,3848,67,118,0,-0.2421875,0.2421875
3848::120::cub_attribute_yes_no_v1,3848,67,120,1,0.546875,0.546875
3848::295::cub_attribute_yes_no_v1,3848,67,295,1,0.5234375,0.5234375
3848::299::cub_attribute_yes_no_v1,3848,67,299,0,-0.15625,0.15625
3848::308::cub_attribute_yes_no_v1,3848,67,308,1,0.6796875,0.6796875
3848::309::cub_attribute_yes_no_v1,3848,67,309,0,0.4765625,-0.4765625
3848::312::cub_attribute_yes_no_v1,3848,67,312,1,1.921875,1.921875
3889::101::cub_attribute_yes_no_v1,3889,67,101,1,0.9921875,0.9921875
3889::105::cub_attribute_yes_no_v1,3889,67,105,1,-0.890625,-0.890625
3889::111::cub_attribute_yes_no_v1,3889,67,111,1,-0.296875,-0.296875
3889::117::cub_attribute_yes_no_v1,3889,67,117,1,-0.9140625,-0.9140625
3889::118::cub_attribute_yes_no_v1,3889,67,118,0,0.8203125,-0.8203125
3889::120::cub_attribute_yes_no_v1,3889,67,120,0,-0.1328125,0.1328125
3889::295::cub_attribute_yes_no_v1,3889,67,295,0,0.84375,-0.84375
3889::299::cub_attribute_yes_no_v1,3889,67,299,0,0.5078125,-0.5078125
3889::305::cub_attribute_yes_no_v1,3889,67,305,1,-0.6015625,-0.6015625
3889::311::cub_attribute_yes_no_v1,3889,67,311,0,-0.4140625,0.4140625
3889::312::cub_attribute_yes_no_v1,3889,67,312,1,2.5625,2.5625
3889::7::cub_attribute_yes_no_v1,3889,67,7,0,-0.578125,0.578125
3889::8::cub_attribute_yes_no_v1,3889,67,8,0,-0.9765625,0.9765625
3890::111::cub_attribute_yes_no_v1,3890,67,111,0,-0.359375,0.359375
3890::117::cub_attribute_yes_no_v1,3890,67,117,0,0.203125,-0.203125
3890::118::cub_attribute_yes_no_v1,3890,67,118,1,0.21875,0.21875
3890::120::cub_attribute_yes_no_v1,3890,67,120,0,-0.609375,0.609375
3890::295::cub_attribute_yes_no_v1,3890,67,295,0,-0.0,0.0
3890::299::cub_attribute_yes_no_v1,3890,67,299,1,0.3671875,0.3671875
3890::305::cub_attribute_yes_no_v1,3890,67,305,0,0.0390625,-0.0390625
3890::306::cub_attribute_yes_no_v1,3890,67,306,0,-0.0390625,0.0390625
3890::308::cub_attribute_yes_no_v1,3890,67,308,0,-0.734375,0.734375
3890::309::cub_attribute_yes_no_v1,3890,67,309,1,-0.4765625,-0.4765625
3890::311::cub_attribute_yes_no_v1,3890,67,311,0,-0.6328125,0.6328125
3890::7::cub_attribute_yes_no_v1,3890,67,7,0,-0.8203125,0.8203125
3890::8::cub_attribute_yes_no_v1,3890,67,8,0,-1.0546875,1.0546875
3893::101::cub_attribute_yes_no_v1,3893,67,101,1,0.6875,0.6875
3893::107::cub_attribute_yes_no_v1,3893,67,107,1,0.6015625,0.6015625
3893::118::cub_attribute_yes_no_v1,3893,67,118,1,0.8671875,0.8671875
3893::295::cub_attribute_yes_no_v1,3893,67,295,1,0.6484375,0.6484375
3893::305::cub_attribute_yes_no_v1,3893,67,305,0,0.0234375,-0.0234375
3893::311::cub_attribute_yes_no_v1,3893,67,311,0,-0.3515625,0.3515625
3893::312::cub_attribute_yes_no_v1,3893,67,312,1,2.1640625,2.1640625
4197::102::cub_attribute_yes_no_v1,4197,73,102,0,1.2265625,-1.2265625
4197::105::cub_attribute_yes_no_v1,4197,73,105,1,-0.5859375,-0.5859375
4197::111::cub_attribute_yes_no_v1,4197,73,111,1,0.5234375,0.5234375
4197::117::cub_attribute_yes_no_v1,4197,73,117,1,-0.4921875,-0.4921875
4197::294::cub_attribute_yes_no_v1,4197,73,294,1,0.296875,0.296875
4197::305::cub_attribute_yes_no_v1,4197,73,305,0,-0.140625,0.140625
4197::308::cub_attribute_yes_no_v1,4197,73,308,0,-0.4296875,0.4296875
4197::309::cub_attribute_yes_no_v1,4197,73,309,0,0.375,-0.375
4197::310::cub_attribute_yes_no_v1,4197,73,310,1,-0.2109375,-0.2109375
4197::311::cub_attribute_yes_no_v1,4197,73,311,0,0.6640625,-0.6640625
4197::312::cub_attribute_yes_no_v1,4197,73,312,0,-1.140625,1.140625
4197::7::cub_attribute_yes_no_v1,4197,73,7,0,-0.6875,0.6875
4197::8::cub_attribute_yes_no_v1,4197,73,8,1,0.7421875,0.7421875
4197::96::cub_attribute_yes_no_v1,4197,73,96,0,-0.9765625,0.9765625
4201::100::cub_attribute_yes_no_v1,4201,73,100,0,-1.40625,1.40625
4201::118::cub_attribute_yes_no_v1,4201,73,118,0,0.9765625,-0.9765625
4201::120::cub_attribute_yes_no_v1,4201,73,120,0,0.265625,-0.265625
4201::294::cub_attribute_yes_no_v1,4201,73,294,1,0.4375,0.4375
4201::295::cub_attribute_yes_no_v1,4201,73,295,0,0.0703125,-0.0703125
4201::305::cub_attribute_yes_no_v1,4201,73,305,0,-0.8359375,0.8359375
4201::309::cub_attribute_yes_no_v1,4201,73,309,0,0.328125,-0.328125
4201::312::cub_attribute_yes_no_v1,4201,73,312,1,1.71875,1.71875
4201::7::cub_attribute_yes_no_v1,4201,73,7,1,0.140625,0.140625
4201::8::cub_attribute_yes_no_v1,4201,73,8,0,-0.1796875,0.1796875
4223::107::cub_attribute_yes_no_v1,4223,73,107,1,-0.828125,-0.828125
4223::117::cub_attribute_yes_no_v1,4223,73,117,0,-0.0859375,0.0859375
4223::118::cub_attribute_yes_no_v1,4223,73,118,0,1.2578125,-1.2578125
4223::294::cub_attribute_yes_no_v1,4223,73,294,1,0.984375,0.984375
4223::295::cub_attribute_yes_no_v1,4223,73,295,1,0.53125,0.53125
4223::299::cub_attribute_yes_no_v1,4223,73,299,0,-0.4921875,0.4921875
4223::305::cub_attribute_yes_no_v1,4223,73,305,0,-1.0859375,1.0859375
4223::306::cub_attribute_yes_no_v1,4223,73,306,0,1.1328125,-1.1328125
4223::311::cub_attribute_yes_no_v1,4223,73,311,0,0.75,-0.75
4223::312::cub_attribute_yes_no_v1,4223,73,312,1,0.796875,0.796875
4223::7::cub_attribute_yes_no_v1,4223,73,7,1,0.7890625,0.7890625
4233::100::cub_attribute_yes_no_v1,4233,73,100,0,-1.078125,1.078125
4233::102::cub_attribute_yes_no_v1,4233,73,102,1,-1.203125,-1.203125
4233::111::cub_attribute_yes_no_v1,4233,73,111,0,-0.3828125,0.3828125
4233::117::cub_attribute_yes_no_v1,4233,73,117,0,0.4921875,-0.4921875
4233::120::cub_attribute_yes_no_v1,4233,73,120,0,-0.09375,0.09375
4233::294::cub_attribute_yes_no_v1,4233,73,294,1,1.59375,1.59375
4233::305::cub_attribute_yes_no_v1,4233,73,305,0,-0.0546875,0.0546875
4233::309::cub_attribute_yes_no_v1,4233,73,309,0,0.015625,-0.015625
4233::310::cub_attribute_yes_no_v1,4233,73,310,0,0.9609375,-0.9609375
4233::311::cub_attribute_yes_no_v1,4233,73,311,0,0.25,-0.25
4233::312::cub_attribute_yes_no_v1,4233,73,312,1,0.25,0.25
4233::7::cub_attribute_yes_no_v1,4233,73,7,1,0.546875,0.546875
4233::8::cub_attribute_yes_no_v1,4233,73,8,0,-0.4140625,0.4140625
4510::107::cub_attribute_yes_no_v1,4510,78,107,0,-0.390625,0.390625
4510::117::cub_attribute_yes_no_v1,4510,78,117,0,0.2734375,-0.2734375
4510::118::cub_attribute_yes_no_v1,4510,78,118,1,1.2734375,1.2734375
4510::295::cub_attribute_yes_no_v1,4510,78,295,0,-0.0859375,0.0859375
4510::299::cub_attribute_yes_no_v1,4510,78,299,1,0.734375,0.734375
4510::308::cub_attribute_yes_no_v1,4510,78,308,0,-0.53125,0.53125
4510::309::cub_attribute_yes_no_v1,4510,78,309,0,0.5859375,-0.5859375
4510::311::cub_attribute_yes_no_v1,4510,78,311,1,0.4375,0.4375
4510::7::cub_attribute_yes_no_v1,4510,78,7,1,1.140625,1.140625
4510::8::cub_attribute_yes_no_v1,4510,78,8,0,-1.453125,1.453125
4523::100::cub_attribute_yes_no_v1,4523,78,100,0,-1.078125,1.078125
4523::101::cub_attribute_yes_no_v1,4523,78,101,1,0.8125,0.8125
4523::105::cub_attribute_yes_no_v1,4523,78,105,0,0.9609375,-0.9609375
4523::107::cub_attribute_yes_no_v1,4523,78,107,0,0.4140625,-0.4140625
4523::118::cub_attribute_yes_no_v1,4523,78,118,1,1.1484375,1.1484375
4523::295::cub_attribute_yes_no_v1,4523,78,295,1,-0.1171875,-0.1171875
4523::299::cub_attribute_yes_no_v1,4523,78,299,1,0.8359375,0.8359375
4523::306::cub_attribute_yes_no_v1,4523,78,306,0,-0.2109375,0.2109375
4523::308::cub_attribute_yes_no_v1,4523,78,308,0,-0.5546875,0.5546875
4523::311::cub_attribute_yes_no_v1,4523,78,311,1,0.7421875,0.7421875
4523::312::cub_attribute_yes_no_v1,4523,78,312,0,-0.6640625,0.6640625
4523::7::cub_attribute_yes_no_v1,4523,78,7,1,1.109375,1.109375
