decision_id,image_id,class_id,attribute_id,target,stage,selection_method,selection_k,metric_scale,effect
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,vision_cls_attention,32,raw_yes_minus_no,-0.018229166666666668
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,vision_cls_attention,64,correct_answer_margin,-0.1953125
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,projector.output,vision_cls_attention,64,raw_yes_minus_no,-0.1953125
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,logit_concept,32,correct_answer_margin,-0.028645833333333336
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,logit_concept,32,raw_yes_minus_no,-0.028645833333333336
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,vision_cls_attention,8,correct_answer_margin,-0.0546875
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.0546875
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,vision_cls_attention,16,correct_answer_margin,-0.08854166666666667
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,vision_cls_attention,16,raw_yes_minus_no,-0.08854166666666667
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,vision_cls_attention,32,correct_answer_margin,-0.05729166666666667
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,vision_cls_attention,32,raw_yes_minus_no,-0.05729166666666667
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,vision_cls_attention,64,correct_answer_margin,-0.2421875
11375::103::cub_attribute_yes_no_v1,11375,194,103,1,vision.late,vision_cls_attention,64,raw_yes_minus_no,-0.2421875
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,logit_concept,32,correct_answer_margin,0.09114583333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,logit_concept,32,raw_yes_minus_no,-0.09114583333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,vision_cls_attention,8,correct_answer_margin,0.0234375
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.0234375
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,vision_cls_attention,16,correct_answer_margin,-0.20052083333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,vision_cls_attention,16,raw_yes_minus_no,0.20052083333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,vision_cls_attention,32,correct_answer_margin,-0.6015625
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,vision_cls_attention,32,raw_yes_minus_no,0.6015625
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,vision_cls_attention,64,correct_answer_margin,-1.0260416666666667
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,projector.output,vision_cls_attention,64,raw_yes_minus_no,1.0260416666666667
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,logit_concept,32,correct_answer_margin,0.1328125
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,logit_concept,32,raw_yes_minus_no,-0.1328125
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,vision_cls_attention,8,correct_answer_margin,0.04166666666666667
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.04166666666666667
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,vision_cls_attention,16,correct_answer_margin,-0.15885416666666669
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,vision_cls_attention,16,raw_yes_minus_no,0.15885416666666669
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,vision_cls_attention,32,correct_answer_margin,-0.5208333333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,vision_cls_attention,32,raw_yes_minus_no,0.5208333333333334
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,vision_cls_attention,64,correct_answer_margin,-0.7682291666666666
11375::104::cub_attribute_yes_no_v1,11375,194,104,0,vision.late,vision_cls_attention,64,raw_yes_minus_no,0.7682291666666666
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,logit_concept,32,correct_answer_margin,0.04427083333333333
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,logit_concept,32,raw_yes_minus_no,0.04427083333333333
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,vision_cls_attention,8,correct_answer_margin,-0.059895833333333336
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.059895833333333336
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,vision_cls_attention,16,correct_answer_margin,-0.13541666666666666
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,vision_cls_attention,16,raw_yes_minus_no,-0.13541666666666666
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,vision_cls_attention,32,correct_answer_margin,-0.3072916666666667
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,vision_cls_attention,32,raw_yes_minus_no,-0.3072916666666667
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,vision_cls_attention,64,correct_answer_margin,-0.3463541666666667
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,projector.output,vision_cls_attention,64,raw_yes_minus_no,-0.3463541666666667
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,logit_concept,32,correct_answer_margin,0.005208333333333329
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,logit_concept,32,raw_yes_minus_no,0.005208333333333329
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,vision_cls_attention,8,correct_answer_margin,-0.0625
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.0625
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,vision_cls_attention,16,correct_answer_margin,-0.16927083333333334
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,vision_cls_attention,16,raw_yes_minus_no,-0.16927083333333334
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,vision_cls_attention,32,correct_answer_margin,-0.34375
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,vision_cls_attention,32,raw_yes_minus_no,-0.34375
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,vision_cls_attention,64,correct_answer_margin,-0.4192708333333333
11375::117::cub_attribute_yes_no_v1,11375,194,117,1,vision.late,vision_cls_attention,64,raw_yes_minus_no,-0.4192708333333333
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,logit_concept,32,correct_answer_margin,0.11197916666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,logit_concept,32,raw_yes_minus_no,0.11197916666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,vision_cls_attention,8,correct_answer_margin,-0.046875
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.046875
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,vision_cls_attention,16,correct_answer_margin,-0.07291666666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,vision_cls_attention,16,raw_yes_minus_no,-0.07291666666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,vision_cls_attention,32,correct_answer_margin,0.0703125
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,vision_cls_attention,32,raw_yes_minus_no,0.0703125
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,vision_cls_attention,64,correct_answer_margin,0.15885416666666666
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,projector.output,vision_cls_attention,64,raw_yes_minus_no,0.15885416666666666
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,logit_concept,32,correct_answer_margin,0.09635416666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,logit_concept,32,raw_yes_minus_no,0.09635416666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,vision_cls_attention,8,correct_answer_margin,-0.04947916666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.04947916666666667
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,vision_cls_attention,16,correct_answer_margin,-0.0625
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,vision_cls_attention,16,raw_yes_minus_no,-0.0625
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,vision_cls_attention,32,correct_answer_margin,0.08072916666666666
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,vision_cls_attention,32,raw_yes_minus_no,0.08072916666666666
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,vision_cls_attention,64,correct_answer_margin,0.11458333333333334
11375::120::cub_attribute_yes_no_v1,11375,194,120,1,vision.late,vision_cls_attention,64,raw_yes_minus_no,0.11458333333333334
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,logit_concept,32,correct_answer_margin,0.3203125
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,logit_concept,32,raw_yes_minus_no,-0.3203125
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,vision_cls_attention,8,correct_answer_margin,-0.171875
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,vision_cls_attention,8,raw_yes_minus_no,0.171875
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,vision_cls_attention,16,correct_answer_margin,-0.3463541666666667
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,vision_cls_attention,16,raw_yes_minus_no,0.3463541666666667
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,vision_cls_attention,32,correct_answer_margin,-0.3151041666666667
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,vision_cls_attention,32,raw_yes_minus_no,0.3151041666666667
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,vision_cls_attention,64,correct_answer_margin,-0.7213541666666666
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,projector.output,vision_cls_attention,64,raw_yes_minus_no,0.7213541666666666
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,logit_concept,32,correct_answer_margin,0.36979166666666663
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,logit_concept,32,raw_yes_minus_no,-0.36979166666666663
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,vision_cls_attention,8,correct_answer_margin,-0.171875
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,vision_cls_attention,8,raw_yes_minus_no,0.171875
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,vision_cls_attention,16,correct_answer_margin,-0.328125
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,vision_cls_attention,16,raw_yes_minus_no,0.328125
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,vision_cls_attention,32,correct_answer_margin,-0.2760416666666667
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,vision_cls_attention,32,raw_yes_minus_no,0.2760416666666667
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,vision_cls_attention,64,correct_answer_margin,-0.5911458333333334
11375::295::cub_attribute_yes_no_v1,11375,194,295,0,vision.late,vision_cls_attention,64,raw_yes_minus_no,0.5911458333333334
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,logit_concept,32,correct_answer_margin,-0.059895833333333336
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,logit_concept,32,raw_yes_minus_no,0.059895833333333336
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,vision_cls_attention,8,correct_answer_margin,0.08854166666666667
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.08854166666666667
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,vision_cls_attention,16,correct_answer_margin,0.028645833333333336
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,vision_cls_attention,16,raw_yes_minus_no,-0.028645833333333336
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,vision_cls_attention,32,correct_answer_margin,0.041666666666666664
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,vision_cls_attention,32,raw_yes_minus_no,-0.041666666666666664
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,vision_cls_attention,64,correct_answer_margin,-0.13802083333333334
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,projector.output,vision_cls_attention,64,raw_yes_minus_no,0.13802083333333334
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,logit_concept,32,correct_answer_margin,-0.06510416666666667
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,logit_concept,32,raw_yes_minus_no,0.06510416666666667
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,vision_cls_attention,8,correct_answer_margin,0.08854166666666666
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.08854166666666666
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,vision_cls_attention,16,correct_answer_margin,0.03125
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,vision_cls_attention,16,raw_yes_minus_no,-0.03125
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,vision_cls_attention,32,correct_answer_margin,0.05989583333333333
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,vision_cls_attention,32,raw_yes_minus_no,-0.05989583333333333
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,vision_cls_attention,64,correct_answer_margin,-0.09635416666666667
11375::2::cub_attribute_yes_no_v1,11375,194,2,0,vision.late,vision_cls_attention,64,raw_yes_minus_no,0.09635416666666667
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,logit_concept,32,correct_answer_margin,-0.10416666666666666
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,logit_concept,32,raw_yes_minus_no,-0.10416666666666666
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,vision_cls_attention,8,correct_answer_margin,-0.049479166666666664
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.049479166666666664
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,vision_cls_attention,16,correct_answer_margin,-0.1328125
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,vision_cls_attention,16,raw_yes_minus_no,-0.1328125
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,vision_cls_attention,32,correct_answer_margin,-0.3098958333333333
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,vision_cls_attention,32,raw_yes_minus_no,-0.3098958333333333
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,vision_cls_attention,64,correct_answer_margin,-0.2708333333333333
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,projector.output,vision_cls_attention,64,raw_yes_minus_no,-0.2708333333333333
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,logit_concept,32,correct_answer_margin,-0.13020833333333334
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,logit_concept,32,raw_yes_minus_no,-0.13020833333333334
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,vision_cls_attention,8,correct_answer_margin,-0.0546875
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.0546875
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,vision_cls_attention,16,correct_answer_margin,-0.16145833333333334
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,vision_cls_attention,16,raw_yes_minus_no,-0.16145833333333334
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,vision_cls_attention,32,correct_answer_margin,-0.3515625
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,vision_cls_attention,32,raw_yes_minus_no,-0.3515625
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,vision_cls_attention,64,correct_answer_margin,-0.3541666666666667
11375::305::cub_attribute_yes_no_v1,11375,194,305,1,vision.late,vision_cls_attention,64,raw_yes_minus_no,-0.3541666666666667
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,logit_concept,32,correct_answer_margin,-0.19010416666666666
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,logit_concept,32,raw_yes_minus_no,-0.19010416666666666
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,vision_cls_attention,8,correct_answer_margin,-0.11979166666666667
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.11979166666666667
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,vision_cls_attention,16,correct_answer_margin,-0.14322916666666666
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,vision_cls_attention,16,raw_yes_minus_no,-0.14322916666666666
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,vision_cls_attention,32,correct_answer_margin,-0.24739583333333334
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,vision_cls_attention,32,raw_yes_minus_no,-0.24739583333333334
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,vision_cls_attention,64,correct_answer_margin,-0.109375
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,projector.output,vision_cls_attention,64,raw_yes_minus_no,-0.109375
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,logit_concept,32,correct_answer_margin,-0.2265625
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,logit_concept,32,raw_yes_minus_no,-0.2265625
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,vision_cls_attention,8,correct_answer_margin,-0.12760416666666666
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.12760416666666666
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,vision_cls_attention,16,correct_answer_margin,-0.16145833333333334
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,vision_cls_attention,16,raw_yes_minus_no,-0.16145833333333334
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,vision_cls_attention,32,correct_answer_margin,-0.2838541666666667
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,vision_cls_attention,32,raw_yes_minus_no,-0.2838541666666667
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,vision_cls_attention,64,correct_answer_margin,-0.21354166666666666
11375::306::cub_attribute_yes_no_v1,11375,194,306,1,vision.late,vision_cls_attention,64,raw_yes_minus_no,-0.21354166666666666
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,logit_concept,32,correct_answer_margin,0.14583333333333331
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,logit_concept,32,raw_yes_minus_no,-0.14583333333333331
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,vision_cls_attention,8,correct_answer_margin,-0.026041666666666668
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,vision_cls_attention,8,raw_yes_minus_no,0.026041666666666668
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,vision_cls_attention,16,correct_answer_margin,-0.12239583333333333
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,vision_cls_attention,16,raw_yes_minus_no,0.12239583333333333
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,vision_cls_attention,32,correct_answer_margin,-0.2552083333333333
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,vision_cls_attention,32,raw_yes_minus_no,0.2552083333333333
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,vision_cls_attention,64,correct_answer_margin,-0.5130208333333334
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,projector.output,vision_cls_attention,64,raw_yes_minus_no,0.5130208333333334
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,logit_concept,32,correct_answer_margin,0.18489583333333334
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,logit_concept,32,raw_yes_minus_no,-0.18489583333333334
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,vision_cls_attention,8,correct_answer_margin,-0.020833333333333332
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,vision_cls_attention,8,raw_yes_minus_no,0.020833333333333332
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,vision_cls_attention,16,correct_answer_margin,-0.125
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,vision_cls_attention,16,raw_yes_minus_no,0.125
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,vision_cls_attention,32,correct_answer_margin,-0.22916666666666666
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,vision_cls_attention,32,raw_yes_minus_no,0.22916666666666666
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,vision_cls_attention,64,correct_answer_margin,-0.46875
11375::308::cub_attribute_yes_no_v1,11375,194,308,0,vision.late,vision_cls_attention,64,raw_yes_minus_no,0.46875
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,logit_concept,32,correct_answer_margin,-0.6223958333333334
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,logit_concept,32,raw_yes_minus_no,0.6223958333333334
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,vision_cls_attention,8,correct_answer_margin,0.0078125
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,vision_cls_attention,8,raw_yes_minus_no,-0.0078125
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,vision_cls_attention,16,correct_answer_margin,0.07291666666666666
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,vision_cls_attention,16,raw_yes_minus_no,-0.07291666666666666
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,vision_cls_attention,32,correct_answer_margin,-0.3463541666666667
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,vision_cls_attention,32,raw_yes_minus_no,0.3463541666666667
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,vision_cls_attention,64,correct_answer_margin,-1.140625
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,projector.output,vision_cls_attention,64,raw_yes_minus_no,1.140625
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,logit_concept,32,correct_answer_margin,-0.5807291666666666
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,logit_concept,32,raw_yes_minus_no,0.5807291666666666
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,vision_cls_attention,8,correct_answer_margin,0.002604166666666667
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,vision_cls_attention,8,raw_yes_minus_no,-0.002604166666666667
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,vision_cls_attention,16,correct_answer_margin,0.06770833333333334
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,vision_cls_attention,16,raw_yes_minus_no,-0.06770833333333334
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,vision_cls_attention,32,correct_answer_margin,-0.3072916666666667
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,vision_cls_attention,32,raw_yes_minus_no,0.3072916666666667
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,vision_cls_attention,64,correct_answer_margin,-0.890625
11375::311::cub_attribute_yes_no_v1,11375,194,311,0,vision.late,vision_cls_attention,64,raw_yes_minus_no,0.890625
