attribute_id,attribute_name,attribute_group,before,after,validation_positive,validation_negative,auroc_delta_mean,auroc_delta_sd,f1_delta_mean,f1_delta_sd
306,has_crown_color::white,has_crown_color,vision.late,projector.output,10,65,-0.1117948717948718,0.010805798720874638,0.02086656034024457,0.021869328378394896
306,has_crown_color::white,has_crown_color,vision.late,llm.final,10,65,-0.05179487179487178,0.0072704855788501424,-0.03130904183535758,0.00888231183368655
308,has_crown_color::buff,has_crown_color,vision.late,projector.output,16,59,-0.06956214689265539,0.006207060674875349,0.001923842784057837,0.03798214281263145
308,has_crown_color::buff,has_crown_color,vision.late,llm.final,16,59,0.09781073446327683,0.012368841728910297,0.06423823090489757,0.0032897451235876208
309,has_wing_pattern::solid,has_wing_pattern,vision.late,projector.output,18,54,0.026406035665294942,0.007442570100895197,0.032345679012345675,0.010691671651659719
309,has_wing_pattern::solid,has_wing_pattern,vision.late,llm.final,18,54,-0.06687242798353905,0.02057613168724276,-0.047816091954022956,0.04433862418847336
310,has_wing_pattern::spotted,has_wing_pattern,vision.late,projector.output,7,65,-0.0241758241758242,0.007924288517503245,-0.19754370555285888,0.02240222500444633
310,has_wing_pattern::spotted,has_wing_pattern,vision.late,llm.final,7,65,0.16556776556776553,0.002537803381053291,0.09863547758284597,0.04915528491002918
311,has_wing_pattern::striped,has_wing_pattern,vision.late,projector.output,33,39,0.07692307692307694,0.0040374144698575145,0.10994912022931834,0.024176366585695837
311,has_wing_pattern::striped,has_wing_pattern,vision.late,llm.final,33,39,0.10437710437710439,0.0008972032155238849,0.1901846009721718,0.03511694314398682
312,has_wing_pattern::multi-colored,has_wing_pattern,vision.late,projector.output,14,58,0.07183908045977012,0.007216090242712239,0.036989696100169556,0.0005421836361243264
312,has_wing_pattern::multi-colored,has_wing_pattern,vision.late,llm.final,14,58,0.05623973727422001,0.01400551897309687,-0.0967023172905526,0.024663269344067235
